Altium Designer Pick and Place Locations
E:\WORK\23\TPen701v2_1025\Project Outputs for TPen701\Pick and Place File\Pick Place for PCB5v2.csv

========================================================================================================================
File Design Information:

Date:       03/06/19
Time:       12:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"S1","SW-SPST","TopLayer","SW","-5.000","-529.367","360","Single-Pole, Single-Throw Switch"
"BT2","Battery","TopLayer","3034","0.000","-1515.748","180","Multicell Battery"
"BT1","Battery","BottomLayer","3034","0.000","-1515.748","0","Multicell Battery"
"U16","ws2812-2020","TopLayer","WS2812_2020","798.285","-802.445","225",""
"U15","ws2812-2020","TopLayer","WS2812_2020","1018.557","-493.677","244.1",""
"U14","ws2812-2020","TopLayer","WS2812_2020","1124.460","-129.476","263.4",""
"U13","ws2812-2020","TopLayer","WS2812_2020","1104.103","249.270","282.7",""
"U12","ws2812-2020","TopLayer","WS2812_2020","960.150","600.011","302",""
"U11","ws2812-2020","TopLayer","WS2812_2020","707.671","883.389","321.6",""
"U10","ws2812-2020","TopLayer","WS2812_2020","376.111","1067.574","340.6",""
"U9","ws2812-2020","TopLayer","WS2812_2020","2.315","1131.887","360",""
"U8","ws2812-2020","TopLayer","WS2812_2020","-371.735","1069.106","19.5",""
"U7","ws2812-2020","TopLayer","WS2812_2020","-704.047","886.280","38.5",""
"U6","ws2812-2020","TopLayer","WS2812_2020","-957.307","603.938","57.8",""
"U5","ws2812-2020","TopLayer","WS2812_2020","-1103.071","253.568","77.1",""
"U4","ws2812-2020","TopLayer","WS2812_2020","-1124.980","-124.870","96.4",""
"U3","ws2812-2020","TopLayer","WS2812_2020","-1020.571","-489.500","115.7",""
"U2","ws2812-2020","TopLayer","WS2812_2020","-801.496","-799.165","135",""
"C7","0603","BottomLayer","C0603","-390.000","-605.000","270",""
"C6","0603","BottomLayer","C0603","-155.000","-1050.000","180",""
"C5","0603","BottomLayer","C0603","120.000","-430.842","360",""
"C4","0603","BottomLayer","C0603","300.000","-895.000","270",""
"C2","C0603","BottomLayer","C0603","-540.000","-945.000","180","Capacitor"
"B1","push button","TopLayer","PB10","602.165","-1285.827","270","SE PUSHBUTTON"
"R1","0603","TopLayer","R0603","121.496","-860.000","360","Resistor"
"C1","0603","TopLayer","C0603","121.496","-925.000","180",""
"B2","push button","TopLayer","PB10","-597.835","-1269.173","270","SE PUSHBUTTON"
"U1","STM32F103RC","BottomLayer","LQFP64_N","0.000","-750.000","360",""
"C8","0603","BottomLayer","C0603","-140.000","-428.653","360",""
"C3","C0603","BottomLayer","C0603","-540.779","-785.000","180","Capacitor"
"Y1","8MHz","BottomLayer","ABM3","-390.000","-865.000","270","Crystal Oscillator"
